H1N1country,arrivalT,Distance
Mexico,6,0
Colombia,14,8.632175528
USA,15,3.991914914
CostaRica,16,9.642568438
ElSalvador,17,8.964500118
Brazil,18,9.189197888
China,18,12.79348692
Cuba,18,13.97681721
Denmark,18,13.8851058
Germany,18,8.933653401
IrelandRepublicof,18,14.17483199
Italy,18,13.77085961
Netherlands,18,8.159425378
Singapore,18,14.74414393
Switzerland,18,16.06048743
Argentina,19,15.23501183
France,19,8.168357938
Honduras,19,10.13407748
Israel,19,18.88599417
Japan,19,12.1834854
Norway,19,18.91957943
Poland,19,13.00015769
Thailand,19,14.61573871
Canada,20,9.754623648
Chile,20,15.39257059
Ecuador,20,9.091295898
Jamaica,20,10.39019515
Paraguay,20,9.148120668
Philippines,20,19.28235169
UnitedKingdom,20,8.473311338
Australia,21,10.10189155
CzechRepublic,21,18.03200589
Malaysia,21,13.71215226
Panama,21,9.179306838
Bulgaria,22,20.24046183
Estonia,22,25.40210854
Greece,22,15.42703206
Slovakia,22,22.26886463
Ukraine,22,15.59912702
Uruguay,22,9.415835188
Egypt,23,14.85646982
Hungary,23,19.40474159
Martinique,23,11.25464813
Turkey,23,15.22671762
Fiji,24,8.002220948
Iraq,24,17.09606557
Morocco,24,15.47679692
Suriname,24,15.03750511
Belgium,25,19.41480662
CapeVerde,25,15.68413844
Coted'Ivoire,25,17.55816349
India,25,12.80767109
NewZealand,25,6.687223558
Pakistan,25,19.11100342
KoreaRepublicof,25,14.6970128
Romania,25,16.55687118
RussianFederation,25,15.67218064
Serbia,25,18.22094264
Slovenia,25,16.91793607
SouthAfrica,25,15.36821191
SriLanka,25,14.67701398
Sweden,25,16.03792569
Tunisia,25,15.1471748
Algeria,26,15.62171876
Cambodia,26,12.24729725
Kenya,26,15.52804589
Luxembourg,26,18.72627951
NewCaledonia,26,22.05071305
MacedoniaFormerYugoslavRepublicof,26,22.51374461
Croatia,27,17.52447956
Guadeloupe,27,18.41329415
VietNam,27,13.83933327
IranIslamicRepublicof,28,16.30718006
Latvia,28,19.71121518
Georgia,29,16.31913681
Sudan,29,15.51469877
Finland,30,19.9129046
FrenchGuiana,31,18.56476351
Cameroon,32,18.11591127
Ghana,32,15.4766478
Lithuania,32,18.10783148
Kyrgyzstan,34,24.01818265
Uganda,34,12.53548907
Guatemala,36,10.00345092
Malta,37,18.84183868
MoldovaRepublicof,37,16.6668492
TanzaniaUnitedRepublicof,37,14.81885292
Spain,38,12.97638695
Madagascar,41,18.44061138
Mongolia,41,6.795042194
Afghanistan,42,21.80156738
Portugal,47,14.56361977